Id,Area Name,Population,Income Level (Lakhs),Dominant Age Group (Years),,Area
1,Panchavati,"150,000",5.0,25-34,,
2,Nashik Road,"200,000",6.5,35-44,,
3,Satpur,"120,000",4.5,25-34,,
4,CIDCO,"100,000",5.2,25-34,,
5,Gangapur Road,"80,000",8.0,35-44,,
6,Indira Nagar,"90,000",4.8,25-34,,
7,Dwarka,"70,000",5.1,35-44,,
8,Mahatma Nagar,"50,000",9.0,35-44,,
9,Adgaon,"60,000",3.7,25-34,,
10,Deolali Camp,"85,000",7.2,45-54,,
11,Sinnar,"75,000",4.0,25-34,,
12,Ambad,"110,000",5.3,35-44,,
13,College Road,"65,000",8.5,25-34,,
14,Meri Colony,"55,000",4.6,25-34,,
15,Jail Road,"40,000",5.0,35-44,,
16,Shalimar,"30,000",6.0,25-34,,
18,Tidke Colony,"38,000",6.5,35-44,,
19,Ashok Stambh,"32,000",5.5,25-34,,
20,Pathardi Phata,"47,000",4.2,35-44,,
21,Upnagar,"35,000",4.0,25-34,,
22,Makhmalabad,"28,000",3.5,25-34,,
23,Trimurti Chowk,"42,000",5.0,35-44,,
24,Sharanpur Road,"39,000",6.8,35-44,,
25,Peth Road,"31,000",3.9,25-34,,
26,Old Agra Road,"36,000",4.5,35-44,,
27,Satana Road,"27,000",3.7,25-34,,
28,Bhonsala Military School Area,"25,000",7.5,25-34,,
29,Gangavhare,"22,000",3.2,35-44,,
30,Lakshminagar,"24,000",4.1,25-34,,
31,Serene Meadows,"26,000",8.2,25-34,,
32,Anandwalli,"20,000",6.0,25-34,,
33,Pandavleni,"18,000",5.8,25-34,,
34,Sukena,"15,000",3.0,25-34,,
35,Niphad,"17,000",2.8,25-34,,
36,Ozar,"14,000",3.5,25-34,,
37,Bhagur,"12,000",3.2,35-44,,
38,Trimbakeshwar,"13,000",3.0,25-34,,
39,Dindori Road,"11,000",3.6,25-34,,
40,Shirdi Road,"10,000",2.9,35-44,,
41,Igatpuri,"9,000",3.1,25-34,,
42,Sarda Circle,"8,000",5.5,35-44,,
43,Wadala Pathardi Road,"7,500",4.7,25-34,,
44,Kamatwade,"7,000",4.0,25-34,,
45,Ambad Link Road,"6,500",4.2,35-44,,
46,Indraprastha,"6,000",5.0,25-34,,
47,Rajiv Nagar,"5,500",3.8,35-44,,
48,Prabhat Colony,"5,000",4.5,25-34,,
49,Samarth Nagar,"4,500",4.0,35-44,,
50,Hirawadi,"4,000",3.5,35-44,,
51,Pimpalgaon Baswant,"3,500",2.8,25-34,,
52,Vihitgaon,"3,000",3.0,35-44,,
53,DGP Nagar,"2,500",3.0,25-34,,
54,Savata Nagar,"2,000",3.2,25-34,,
55,Mhasrul,"1,500",2.5,25-34,,
56,Chunchale,"1,000",2.9,25-34,,
57,Takli Road,"9,500",3.4,35-44,,
58,Belgaon Dhaga,"8,500",2.7,25-34,,
59,Kusmadi,"7,800",3.0,35-44,,
60,Girnare,"7,200",2.9,35-44,,
61,Chehedi,"6,800",3.5,25-34,,
62,Dasak,"6,400",2.5,25-34,,
63,Phulenagar,"6,000",2.7,35-44,,
64,Meri-Mhasrul Link Road,"5,700",2.8,35-44,,
65,Chandshi,"5,300",2.9,35-44,,
66,Palse,"5,000",2.8,25-34,,
67,Mahiravni,"4,800",2.7,25-34,,
68,Darana Nagar,"4,600",3.4,25-34,,
69,Tapovan,"4,400",2.7,25-34,,
70,Ganesh Baba Nagar,"4,200",3.0,25-34,,
71,Shinde Village,"4,000",2.3,35-44,,
72,Belgaon,"3,800",2.2,25-34,,
73,Karmayogi Nagar,"3,600",2.1,25-34,,
74,Vayunandana Nagar,"3,400",2.0,25-34,,
75,Ambebahula,"3,200",1.9,25-34,,
76,Dixit Wadi,"3,000",1.8,25-34,,
77,Golwadi,"2,800",1.7,25-34,,
78,Chitegaon,"2,600",1.6,25-34,,
79,Kotamgaon,"2,400",1.5,25-34,,
80,Lekha Nagar,"45,000",7.2,25-34,,
81,Falke Road,"38,000",6.5,35-44,,
82,Trambakeshwar Road,"42,000",7.8,25-34,,
83,Mumbai Agra Road,"60,000",8.2,25-34,,
84,Deolali,"70,000",9.0,35-44,,
85,Nashik Railway Station,"55,000",7.5,25-34,,
86,Kamod Nagar,"32,000",6.2,35-44,,
87,Matoshree Nagar,"29,000",5.9,25-34,,
88,Shivaji Nagar,"50,000",7.1,35-44,,
89,Amrutdham,"47,000",7.3,25-34,,
90,Mumbai Naka,"65,000",8.4,25-34,,
91,Untwadi Road,"56,000",7.6,35-44,,
92,Panchvati,"62,000",8.0,25-34,,
93,Jatra,"30,000",6.1,35-44,,
94,Bali Chowk,"33,000",6.4,25-34,,
95,Nandur Naka,"58,000",7.9,25-34,,
96,Saraswati Nagar,"41,000",7.0,35-44,,
97,Dindori,"72,000",9.1,25-34,,
98,Durga Nagar,"28,000",5.8,35-44,,
99,Ashoka Marg,"52,000",7.5,25-34,,
100,CBS,"59,000",8.0,35-44,,
101,Satana Naka,"47,000",7.3,25-34,,
102,Kokangaon (outside Nashik),"35,000",6.6,35-44,,
103,Mohadi,"30,000",6.0,25-34,,
104,Restaurant,"40,000",6.8,35-44,,
105,Gangapur Gaon,"38,000",6.5,25-34,,
106,Ashok Nagar,"50,000",7.2,35-44,,
107,Canada Corner,"64,000",8.3,25-34,,
108,Rane Nagar,"55,000",7.6,35-44,,
109,Ashwin Nagar,"45,000",7.1,25-34,,
110,Parab Nagar,"48,000",7.4,35-44,,
