Place_id,Map LOcation,Name,Price,Cuisine,Latitude,Longitude,Address,Timing,,Rating,Total Raters,Competitor_Count,Area Name
1,https://www.google.co.in/maps/place/Patang+restaurant+and+bar/data=!4m7!3m6!1s0x3bddeba0f179e8dd:0x4d7ea888f960161c!8m2!3d20.0016294!4d73.7748745!16s%2Fg%2F1tj31l2p!19sChIJ3eh58aDr3TsRHBZgYiofk0?authuser=0&hl=en&rclk=1,Patang restaurant and bar,255,North Indian,20.0016294,73.7748745,Sharanpur Road,⋅ 11:30 pm ⋅ Opens 11:30 am Sat,,4.1,877,156,sharanpur road
2,https://www.google.co.in/maps/place/Majhali+Restaurant++College+Road/data=!4m7!3m6!1s0x3bddebeecae86c47:0x4c843cc806bed21d!8m2!3d20.0067143!4d73.7574862!16s%2Fg%2F11l10_48b9!19sChIJR2zoyu7r3TsRHdKBsg8hEw?authuser=0&hl=en&rclk=1,Majhali Restaurant College Road,255,Seafood,20.0067143,73.7574862,"Majhali FineDine Seafood Restaurant, College Road",⋅ Closes 12:30 am,,4.3,135,142,college road
3,"https://www.google.co.in/maps/place/Tales+%26+Spirits+Bistro/@20.0014407,73.7626742,17z/data=!3m1!4b1!4m6!3m5!1s0x3bddeb18be4e5de9:0x76cad730b6dc855f!8m2!3d20.0014407!4d73.7626742!16s%2Fg%2F11h03dsl54?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D",Tales & Spirits Bistro,255,Modern European,20.0117992,73.7400979,"· Plot No. 33, opposite Westside Store, off College Road",⋅ 12 am ⋅ Opens 12 pm Sat,,4.3,3228,143,college road
4,https://www.google.co.in/maps/place/21st+Century+Restaurant/data=!4m7!3m6!1s0x3bddeb749e51e0cb:0xa50436d98160202b!8m2!3d20.0025512!4d73.7732006!16s%2Fg%2F11td3tygz5!19sChIJyBRnnTr3TsRKyBggdk2BKU?authuser=0&hl=en&rclk=1,21st Century Restaurant,255,Restaurant,20.0168841,73.7227096,Sharanpur Road,,,4.3,472,37,sharanpur road
5,https://www.google.co.in/maps/place/Ambrosia+Restaurant/data=!4m7!3m6!1s0x3bddeb3ec39b22ab:0x3990d1abc15e2ec9!8m2!3d19.972085!4d73.7752125!16s%2Fg%2F11f003_t79!19sChIJqyKbwz7r3TsRyS5ewavRkDk?authuser=0&hl=en&rclk=1,Ambrosia Restaurant,255,Restaurant,19.972085,73.7752125,"Hotel Grand Rio, opp, Lekha Nagar Bypass Road, Mumbai Agra Rd",⋅ 11:30 pm ⋅ Opens 7:30 am Sat,,4.2,268,92,lekha nagar
6,https://www.google.co.in/maps/place/Bon+Vivant/data=!4m7!3m6!1s0x1157342f01427d35:0x9ba9b5b4e0ae39cd!8m2!3d20.0066439!4d73.7709296!16s%2Fg%2F11b778p6_k!19sChIJNX1CAS80VxERzTmu4LS1qZs?authuser=0&hl=en&rclk=1,Bon Vivant,255,North Indian,20.0066439,73.7709296,"· Patil Park, opposite to Dongre Vasti Gruha",⋅ 11:30 pm ⋅ Opens 11 am Sat,,4.1,6922,148,gangapur road
7,https://www.google.co.in/maps/place/Haji+Darbar+Restaurant/data=!4m7!3m6!1s0x3bddeb01403f19b3:0xa9ae357d192e9cca!8m2!3d19.996915!4d73.7904125!16s%2Fg%2F1td2xybd!19sChIJsxk_QAHr3TsRypwuGX01rqk?authuser=0&hl=en&rclk=1,Haji Darbar Restaurant,255,North Indian,19.996915,73.7904125,· Falke Rd,⋅ 12 am ⋅ Opens 9:15 am Sat,,4.1,1697,111,falke road
8,https://www.google.co.in/maps/place/Banjaara+Family+Restaurant+%26+Resto+Bar/data=!4m7!3m6!1s0x3bddeb7f4fffffff:0x8f7d9cc1185cb7a4!8m2!3d19.997421!4d73.7543176!16s%2Fg%2F1hc79bz27!19sChIJ____T3_r3TsRpLdcGMGcfY8?authuser=0&hl=en&rclk=1,Banjaara Family Restaurant & Resto Bar,255,Biryani,19.997421,73.7543176,"Trimbak Link Road, Mahatma Nagar, opposite Cricket Ground",,,3.8,1256,156,mahatma nagar
9,https://www.google.co.in/maps/place/Flying+Monk/data=!4m7!3m6!1s0x3bddebceb9d3980f:0x7ae8b402e3a51d1d!8m2!3d20.0054869!4d73.7652758!16s%2Fg%2F11qq2bzgyp!19sChIJD5jTuc7r3TsRHR2l4wK06Ho?authuser=0&hl=en&rclk=1,Flying Monk,255,Restaurant,20.0054869,73.7652758,"· 3rd floor, Archit Arcade, College Road, behind Big Bazaar",⋅ 12 am ⋅ Opens 11 am Sat,,4,712,153,college road
10,https://www.google.co.in/maps/place/ASTER++MULTICUISINE+RESTAURANT/data=!4m7!3m6!1s0x3bddeb4932ce5ee9:0xb4aa947af070324b!8m2!3d19.9524843!4d73.7551245!16s%2Fg%2F11f6xzgzdj!19sChIJ6V7OMknr3TsRSzJw8HqUqrQ?authuser=0&hl=en&rclk=1,ASTER MULTICUISINE RESTAURANT,300,North Indian,19.9524843,73.7551245,· inside Hotel Express Inn,⋅ 11:30 pm ⋅ Opens 7 am Sat,,4.3,523,58,pathardi phata
11,https://www.google.co.in/maps/place/Malvan+Seafood+Restaurant/data=!4m7!3m6!1s0x3bddedaa63aa2d67:0x1049792bd2525807!8m2!3d19.9920339!4d73.7456874!16s%2Fg%2F11kc8kcfgg!19sChIJZy2qY6rt3TsRB1hS0it5SRA?authuser=0&hl=en&rclk=1,Malvan Seafood Restaurant,300,North Indian,19.9920339,73.7456874,"· Trambakeshwar Rd, above Royale Enfield Showroom, next to Sitadel Hotel",⋅ 11:30 pm ⋅ Opens 11:30 am Sat,,3.9,251,90,trambakeshwar road
12,https://www.google.co.in/maps/place/Inayat+Cafe/data=!4m7!3m6!1s0x3bddeb170c23e02f:0x10c82c227bbd28ce!8m2!3d19.9806241!4d73.7812718!16s%2Fg%2F11ckr7f4rk!19sChIJLAjDBfr3TsRzii9eyIsyBA?authuser=0&hl=en&rclk=1,Inayat Cafe,255,North Indian,19.9806241,73.7812718,"· Mumbai Agra Rd, near Mahindra Showroom",⋅ 11:55 pm ⋅ Opens 11:30 am Sat,,4,2006,100,mumbai agra road
13,https://www.google.co.in/maps/place/Shalimar+Restaurant/data=!4m7!3m6!1s0x3bddeba8e577b7c9:0xf2a816ae547fe5!8m2!3d19.9501889!4d73.8366049!16s%2Fg%2F1tgz3yhs!19sChIJybd35ajr3TsR5X9Urhao8gA?authuser=0&hl=en&rclk=1,Shalimar Restaurant,300,Mughlai,19.9501889,73.8366049,"· Dream Square, Mahatma Gandhi Rd, Near Muktidham",⋅ 12 am ⋅ Opens 10 am Sat,,3.9,792,20,deolali
14,https://www.google.co.in/maps/place/Udupi+Tadka+Sukhsagar+Restaurant/data=!4m7!3m6!1s0x3bddeb3d168265b5:0x468e6987f3ad5a6!8m2!3d20.0056278!4d73.7855322!16s%2Fg%2F11sc2lt23_!19sChIJtWWCFj3r3TsRptU6f5jmaAQ?authuser=0&hl=en&rclk=1,Udupi Tadka Sukhsagar Restaurant,300,North Indian,20.0056278,73.7855322,"Ashok Stambh, Raviwar Karanja, Panchavati, Nashik, Maharashtra",,,4.6,93,111,ashok stambh
15,https://www.google.co.in/maps/place/Hotel+Nashik+Parivaar/data=!4m7!3m6!1s0x3bddbffd5d9381cb:0x2cd5d223fa486f5a!8m2!3d19.948831!4d73.8409315!16s%2Fg%2F11d_8c8c_2!19sChIJy4GTXf2_3TsRWm9IiPS1Sw?authuser=0&hl=en&rclk=1,Hotel Nashik Parivaar,100,Restaurant,19.948831,73.8409315,"nashik railway station, Mitra Mandal coop hsg society, opp. Ganesh Market",⋅ Closes 12:30 am,,3.9,221,20,nashik railway station
16,https://www.google.co.in/maps/place/Panorama+at+BLVD+Nashik/data=!4m7!3m6!1s0x3bddeb76bad3ffff:0xe8e668dd7a3437d6!8m2!3d19.9915959!4d73.7436711!16s%2Fg%2F11f3x8xqrg!19sChIJ___Tunbr3TsR1jc0et1o5ug?authuser=0&hl=en&rclk=1,Panorama at BLVD Nashik,255,North Indian,19.9915959,73.7436711,"· Level 4, BLVD, Trambakeshwar Rd",⋅ 11:30 pm ⋅ Opens 7 pm Sat,,4.1,560,82,trambakeshwar road
17,https://www.google.co.in/maps/place/Hari+Om+Dhaba+by+Bunty+Luthra+%7C+Best+Pure+Veg+Restaurant+in+Nasik+%7C+Best+North+Indian+Food/data=!4m7!3m6!1s0x3bddeb3e6efe3915:0xf30566ee3fd22f4b!8m2!3d19.9748465!4d73.7762685!16s%2Fg%2F11bwktp46b!19sChIJFTnbj7r3TsRSy_SP5mBfM?authuser=0&hl=en&rclk=1,Hari Om Dhaba by Bunty Luthra | Best Pure Veg Restaurant in Nasik | Best North Indian Food,300,Maharashtrian Restaurant,19.9748465,73.7762685,"Kamod Nagar, Indira Nagar, Nashik, Maharashtra 422009",⋅ 11:30 pm ⋅ Opens 7 am Sat,,3.7,3542,100,kamod nagar
18,"https://www.google.co.in/maps/place/Curry+Leaves,+Indira+Nagar++Hotel,+Restaurant,+Banquet,+Rooms/data=!4m10!3m9!1s0x3bddeb51a58a41cf:0x97d8098a2cbcc74e!5m2!4m1!1i2!8m2!3d19.9728522!4d73.7926715!16s%2Fg%2F11q8sv_v2w!19sChIJz0GKpVHr3TsRTse8LIoJ2Jc?authuser=0&hl=en&rclk=1","Curry Leaves, Indira Nagar Hotel, Restaurant, Banquet, Rooms",255,Restaurant,19.9728522,73.7926715,"Indira Nagar-Wadala Road Sawta Mali Rd, Parab Nagar, Wadala Gaon, Nashik, Maharashtra 422214",,,4.1,1727,66,indira nagar
19,https://www.google.co.in/maps/place/Chiku%27s+family+restaurant+and+bar/data=!4m7!3m6!1s0x3bddebcd63fbaa15:0x81fddf377ea7bd43!8m2!3d19.9663115!4d73.7534709!16s%2Fg%2F11rkp23wht!19sChIJFar7Y83r3TsRQ72nfjff_YE?authuser=0&hl=en&rclk=1,Chiku's family restaurant and bar,255,Familyfriendly,19.9663115,73.7534709,"Lsector pap plot no 2/3 ,ambad link road Near glasco company, opposite Indian oil petrol pump,ashwamedh kata",,,4.5,14,96,ambad 
20,https://www.google.co.in/maps/place/TAJ+RESTAURANT/data=!4m7!3m6!1s0x3bdd9530f25d06f9:0x1816e0aa2bb25a22!8m2!3d19.947414!4d73.8410658!16s%2Fg%2F11splqlg6n!19sChIJQZd8jCV3TsRIlqyK6rgFhg?authuser=0&hl=en&rclk=1,TAJ RESTAURANT,300,Restaurant,19.947414,73.8410658,"· nashik railway station, nr. Kadam Compound",⋅ 12 am ⋅ Opens 10 am Sat,,4.5,50,21,nashik railway station
21,https://www.google.co.in/maps/place/SNOWBITE+CHINESE+RESTAURANT/data=!4m7!3m6!1s0x3bdd95541bb82145:0xe3421cf3c0920c6d!8m2!3d19.9540402!4d73.8369774!16s%2Fg%2F11b6_y56sq!19sChIJRSG4G1SV3TsRbQySwPMcQuM?authuser=0&hl=en&rclk=1,SNOWBITE CHINESE RESTAURANT,300,Chinese,19.9540402,73.8369774,"Shop No. 5 Deh Berg Comp, Nashik Rd",⋅ 12 am ⋅ Opens 11 am Sat,,3.6,164,19,nashik railway station
22,https://www.google.co.in/maps/place/Jai+Malhar+Family+Garden+Restaurant/data=!4m7!3m6!1s0x3bddeb4c856d0bf5:0xc80bc791d77045ad!8m2!3d19.9965575!4d73.7799252!16s%2Fg%2F11fn48jbqs!19sChIJ9QtthUzr3TsRrUVw15HHC8g?authuser=0&hl=en&rclk=1,Jai Malhar Family Garden Restaurant,200,North Indian,19.9965575,73.7799252,"Matoshree Nagar, Nashik, Maharashtra 422002",⋅ 11:30 pm ⋅ Opens 8 am Sat,,3.7,69,146,matoshree nagar
23,https://www.google.co.in/maps/place/Barbeque+Ville/data=!4m7!3m6!1s0x3bddeb3e0237d14b:0xff3f1d0f571df9da!8m2!3d19.9767746!4d73.7768019!16s%2Fg%2F1pv61h86_!19sChIJS9E3Aj7r3TsR2vkdVw8dP_8?authuser=0&hl=en&rclk=1,Barbeque Ville,700,Barbecue,19.9767746,73.7768019,"Karambelkar Tower, near Deccan Petrol Pump Relaxed Indian BBQ place & buffet",⋅ 11:30 pm ⋅ Opens 12:30 pm Sat,,4.1,3373,101,lekha nagar
24,https://www.google.co.in/maps/place/Grand+Al+khatib+restaurant/data=!4m7!3m6!1s0x3bddeb00d9b859bb:0x6324b86d3d433406!8m2!3d19.9990811!4d73.7896956!16s%2Fg%2F11d_w7bqjl!19sChIJu1m42QDr3TsRBjRDPW24JGM?authuser=0&hl=en&rclk=1,Grand Al khatib restaurant,300,Mughlai,19.9990811,73.7896956,Doodh Bazar Rd,⋅ 11:45 pm ⋅ Opens 8 am Sat,,4,210,102,shalimar
25,https://www.google.co.in/maps/place/HOTEL+ALAZIM:+Best+restaurant+in+nashik/data=!4m7!3m6!1s0x3bddebb6306b0b39:0x85f080e84ce0a350!8m2!3d19.9943019!4d73.7982921!16s%2Fg%2F11h5mq4pzc!19sChIJOQtrMLbr3TsRUKPgTOiA8IU?authuser=0&hl=en&rclk=1,HOTEL ALAZIM: Best restaurant in nashik,300,North Indian,19.9943019,73.7982921,dwarka Cir,,,4,338,92,dwarka
26,https://www.google.co.in/maps/place/Hotel+Gandharv+Pure+Veg+Restaurant+%28best+pure+veg+restaurant+in+nashik%29/data=!4m7!3m6!1s0x3bddeb69eca60efd:0x3b7f2253871de45c!8m2!3d19.9782031!4d73.7780233!16s%2Fg%2F11wfhsqfnn!19sChIJ_Q6m7Gnr3TsRXOQdh1Mifzs?authuser=0&hl=en&rclk=1,Hotel Gandharv Pure Veg Restaurant (best pure veg restaurant in nashik),400,Restaurant,19.9782031,73.7780233,"4, BELLAVISTA APARTMENT, BHUJBAL FARM, Mumbai Agra Rd",⋅ 11:55 pm ⋅ Opens 9:30 am Sat,,4.6,196,99,mumbai agra road
27,https://www.google.co.in/maps/place/Offtrack+Rail+Coach+Restaurant/data=!4m7!3m6!1s0x3bdd95de1e4e522b:0xe07555ed47b54544!8m2!3d19.9471354!4d73.8417199!16s%2Fg%2F11ksk_7nz6!19sChIJK1JOHt6V3TsRREW1R1VdeA?authuser=0&hl=en&rclk=1,Offtrack Rail Coach Restaurant,300,Restaurant,19.9471354,73.8417199,· nashik railway station,,,4.1,125,19,nashik railway station
28,"https://www.google.com/maps/place/Thakur+Ji+Thali+Restaurant/@19.9777804,73.8061958,17z/data=!3m1!4b1!4m6!3m5!1s0x3bddebacfa4cebb9:0x6408f27b7ca46055!8m2!3d19.9777754!4d73.8087707!16s%2Fg%2F11vdqmpvj0?entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Thakur Ji Thali Restaurant,300,Gujarati,19.9777754,73.8087707,XRH5+4G6,,,3.9,104,20,shivaji nagar
